#id	month	rating	games
36099783	2016-02	1223	1
36049336	2016-02	1144	6
36000310	2016-02	1440	6
36037397	2016-02	1116	2
36057290	2016-02	1200	10
45101418	2016-02	1173	5
36053775	2016-02	1300	6
36053627	2016-02	1041	4
36074284	2016-02	1064	1
36073938	2016-02	1149	1
36054046	2016-02	1103	3
45107785	2016-03	1221	7
36045411	2016-03	1104	1
26075954	2016-03	1572	7
36037354	2016-03	1266	2
36051756	2016-03	1311	8
36022365	2016-03	1313	7
45109583	2016-03	1163	1
36019640	2016-03	1193	3
36083372	2016-03	1273	9
36051217	2016-03	1308	10
45111928	2016-03	1010	2
36044644	2016-03	1282	2
36022101	2016-03	1129	1
36054038	2016-03	1425	5
36080900	2016-03	1071	1
36056847	2016-03	1194	4
45116270	2016-03	1033	5
36034665	2016-03	1200	4
36016624	2016-03	1175	8
36037370	2016-03	1129	2
36056855	2016-03	1208	1
36084476	2016-03	1274	4
36033995	2016-03	1403	8
36000310	2016-03	1423	6
36016950	2016-03	1227	3
36098531	2016-03	1186	2
36040940	2016-03	1328	5
45101418	2016-03	1192	6
36064378	2016-03	1119	1
36067431	2016-03	1067	5
45108382	2016-03	1287	10
36067440	2016-03	1154	5
45102635	2016-03	1374	4
36073563	2016-03	1103	11
36054046	2016-03	1093	6
36054054	2016-03	1075	1
36082805	2016-04	1258	5
45107785	2016-04	1215	2
36045411	2016-04	1076	3
36007340	2016-04	1019	9
36083364	2016-04	1010	12
36077151	2016-04	1043	3
26075954	2016-04	1533	8
26088240	2016-04	1112	6
36037354	2016-04	1292	11
36099112	2016-04	1142	3
45106746	2016-04	1005	18
36051756	2016-04	1321	2
36022365	2016-04	1346	5
45109583	2016-04	1166	6
36086088	2016-04	1045	7
36019640	2016-04	1215	1
36097993	2016-04	1396	2
36083372	2016-04	1262	2
36077178	2016-04	1129	2
36066893	2016-04	1071	2
36016691	2016-04	1167	6
36051217	2016-04	1264	4
45105863	2016-04	1064	5
36082066	2016-04	1304	5
45106614	2016-04	1286	3
45111928	2016-04	1035	1
36044644	2016-04	1405	7
36049590	2016-04	1210	1
36054038	2016-04	1471	14
36080900	2016-04	1050	1
36074918	2016-04	1246	5
36044440	2016-04	1094	5
54144949	2016-04	1263	6
36099783	2016-04	1259	3
36049336	2016-04	1089	4
36034665	2016-04	1170	2
36088625	2016-04	1128	1
36037370	2016-04	1050	7
36084476	2016-04	1227	2
36033995	2016-04	1344	3
36042080	2016-04	1124	10
36098442	2016-04	1308	8
36080039	2016-04	1079	6
36000310	2016-04	1461	2
36016950	2016-04	1208	1
36037397	2016-04	1111	12
36057290	2016-04	1224	4
36042099	2016-04	1030	2
45101418	2016-04	1211	2
36090670	2016-04	1034	8
36064378	2016-04	1137	2
36067431	2016-04	1085	2
45100861	2016-04	1205	2
36075760	2016-04	1194	3
36053775	2016-04	1275	8
36053627	2016-04	1067	5
36067440	2016-04	1142	2
45102635	2016-04	1413	6
36074284	2016-04	1037	2
36073938	2016-04	1122	6
36073563	2016-04	1088	1
36054046	2016-04	1087	1
36054054	2016-04	1023	7
45115419	2016-04	1214	7
45107785	2016-05	1235	8
36070378	2016-05	1253	8
36035726	2016-05	1040	5
26075954	2016-05	1649	9
36037354	2016-05	1213	8
36051756	2016-05	1330	6
45109583	2016-05	1186	7
36019640	2016-05	1239	10
36066893	2016-05	1052	3
36016691	2016-05	1263	8
36051217	2016-05	1288	11
45105863	2016-05	1078	7
45126798	2016-05	1131	5
45111928	2016-05	1017	5
36044644	2016-05	1447	9
36022101	2016-05	1161	5
36080900	2016-05	1017	5
36074918	2016-05	1293	8
36099783	2016-05	1226	6
45101698	2016-05	1104	10
36034665	2016-05	1178	8
36016624	2016-05	1261	8
